,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-02-23,32.7982407,49.0999069,31.7307987,18.8233891,8.62200356,17.5552006,8.56463051,34.297081,25.2807865,11.7155704,10.4677677,30.391077,30.391077,-14.6220455,13.5794926,22.0531864,2.2237792,6.98763418,11.7606144,3.95449209
2019-02-24,31.3220768,47.9734726,31.3385563,23.0509892,7.16756582,16.6101017,11.8837223,35.3002853,23.2143497,12.4511051,10.1155949,32.1558762,32.1558762,-13.5848141,9.28719521,22.8437443,3.21099234,9.15300941,12.0974674,4.66542959
2019-02-25,28.4802189,47.7975998,30.9661198,23.3309269,8.16100502,18.067194,15.1083927,31.1205997,22.874445,15.4939518,13.725153,29.1009464,29.1009464,-13.0720577,13.3764896,21.7440128,2.13961172,11.4189701,14.4070683,5.7447753
2019-02-26,30.6486454,48.2997971,31.0258427,26.2855167,6.7498107,19.9784184,15.4386845,32.5737534,22.8458195,15.7778568,10.9500065,35.2705002,35.2705002,-12.227026,14.0857182,23.3026676,3.43544912,12.9529667,13.9661808,5.72802114
2019-02-27,35.401329,48.5899887,27.7736759,29.7600346,8.22066689,20.7514286,17.1765995,24.8854923,23.6092167,18.4935856,8.88387489,32.5975266,32.5975266,-13.4103451,12.5379276,22.3099918,2.9010253,14.7038517,13.5764408,4.41823721
2019-02-28,34.4595871,48.8617477,30.4503422,19.8516483,8.3366642,15.4684086,13.8063297,32.8768845,20.5832157,16.8838139,9.60112953,35.4269943,35.4269943,-12.8755856,13.4695683,23.1421757,-1.3571533,14.7192326,5.66585684,4.20534658
2019-03-01,34.9932175,47.3230209,28.7882023,24.309412,9.41161537,9.11025429,2.63067007,29.7120304,19.6360111,16.0173893,11.9337406,36.544548,36.544548,-12.3132992,14.4647465,22.2517033,-2.30411386,-1.75736082,8.90435219,5.62767935
2019-03-02,33.0233994,46.5853806,31.5565128,18.3355656,11.2168522,10.3526859,7.26146841,34.129509,21.7968082,13.9896488,10.289484,35.6953964,35.6953964,-11.6759701,17.4716129,22.6119938,-3.416327,1.69896853,8.76775551,1.31548464
2019-03-03,35.1124191,45.5063705,29.7128544,22.4291325,12.715601,13.6082401,5.7126708,34.8767929,23.6696415,17.5359745,6.90526724,35.2676926,35.2676926,-11.8853207,13.1900578,23.7071171,-9.08472252,12.6968327,4.80162954,0.594384789
2019-03-04,29.9185123,46.4691086,30.517725,19.060236,12.4339237,11.0244999,6.77321768,32.5349045,26.1189213,15.9777775,11.6976871,31.679163,31.679163,-10.5715694,15.4714298,19.5913334,-8.41522789,7.29342031,6.50216055,-0.126837164
2019-03-05,30.5514164,46.4475632,30.0816288,23.8391666,10.554987,11.7274418,5.40337515,34.1196518,23.7360477,16.9679508,11.549036,34.1014938,34.1014938,-9.48877525,11.4381962,18.1624393,-9.56088829,7.74584341,7.16887808,2.64797354
2019-03-06,32.3505173,44.7827377,30.699152,23.3987064,11.1467533,11.2250004,13.1486149,29.5571537,27.2652836,18.2917728,9.43374062,33.0271225,33.0271225,-9.46149254,15.5107365,15.0624027,-7.28226328,11.5441532,2.71956778,4.9095397
2019-03-07,32.4703903,47.3254623,31.7018681,21.5182743,11.353632,11.9677067,8.78658485,35.6079636,25.4493961,18.1698856,9.76796913,35.7079391,35.7079391,-9.44479942,13.9766178,15.5062504,-5.99854136,6.15187979,2.82174063,4.38338614
2019-03-08,29.0035648,47.343895,31.5304508,24.1951237,10.9997501,12.4585209,8.55025673,29.5651798,29.5406742,18.0031376,11.1075077,35.5256577,35.5256577,-9.61108971,15.1822758,18.0432377,-11.4599972,7.43859243,-2.9989686,4.84511709
2019-03-09,27.211359,48.4188766,31.418848,20.3599796,11.4316654,10.4170475,6.47741079,36.028862,20.8368168,18.0684147,12.2613163,37.4473495,37.4473495,-9.67874718,15.03512,22.5834293,-9.16885948,6.9479003,8.03045082,7.8086791
2019-03-10,28.3208256,49.1505356,30.50387,24.7902775,11.6888065,11.4620304,4.01177359,36.8255234,22.5442448,17.5831852,9.30983925,34.7071152,34.7071152,-9.66391563,,23.6593266,-5.93912363,6.41130972,3.74190664,7.00798941
2019-03-11,28.7801456,47.5172348,30.5508671,20.3239079,13.8011417,11.4318485,2.13945913,37.2804794,27.4479618,13.7612858,17.0424442,33.1070786,33.1070786,-9.94574547,12.0365849,21.9627628,-5.46829844,-0.466955572,9.42220497,6.63979483
2019-03-12,30.2018681,46.9772873,30.9712772,27.5034428,13.7548161,15.3695011,10.6128483,37.6448288,26.4218998,13.9041386,13.5216007,33.1084824,33.1084824,-9.81699181,9.82589149,24.505518,-4.94385386,8.19787025,6.51351309,7.92138052
2019-03-13,28.8993778,45.2633591,30.2448978,22.2993717,13.3265934,10.7440434,5.75771475,36.2348862,29.6940556,13.3312016,11.7042789,29.1780033,29.1780033,-9.74228477,11.5746708,18.7948856,-5.41892099,5.11013174,8.53420448,9.91008949
2019-03-14,29.8622379,45.4319382,31.6203251,24.6021976,13.6122379,8.63418007,1.27449954,36.8819809,29.1706486,15.683466,9.76659584,36.2439194,36.2439194,-9.05225182,13.4911442,22.8705692,-4.10190439,18.0479069,9.59838295,8.82824135
2019-03-15,27.3014164,44.4633102,31.2760868,27.7977238,14.3149052,11.1676273,3.58129263,31.5031986,25.7838688,19.0356388,12.4484501,31.7547855,31.7547855,-8.83640099,10.3317204,23.4312382,-5.01727915,8.47417641,8.21477699,9.31276894
2019-03-16,25.3723698,45.3173752,32.059166,22.9690189,14.6715946,18.578516,4.55935049,37.2857895,28.1974735,18.2886295,11.1746769,30.8056278,30.8056278,-8.92838097,13.4013309,25.8247623,-5.44803476,11.4467411,3.62886953,9.91698647
2019-03-17,28.253046,42.6530075,30.8951969,24.7368717,16.2970524,12.4951725,12.5416813,34.3766708,29.0989628,18.9792728,10.3610477,31.7766666,31.7766666,-9.95325279,15.5848331,22.9930363,-4.82260752,10.2193851,7.24797964,12.0154667
2019-03-18,26.8857975,45.0403061,31.9888554,13.4119511,17.2986088,12.2633915,9.0147953,38.2159042,22.5509892,15.7636967,11.1833439,30.715601,30.715601,-9.706213,16.1472721,20.6368961,-4.85529184,5.96151114,6.39034414,11.7682133
2019-03-19,26.0331669,45.007988,32.0436935,20.3497562,17.5226994,12.5436344,11.6226444,40.2564316,27.0536442,15.6503544,13.4460087,35.5419235,35.5419235,-8.57217979,14.998682,20.5112858,-0.172399908,8.17717934,7.39248037,12.0913029
2019-03-20,25.5831547,46.4483566,31.6342411,20.3153019,15.6524296,15.5938663,12.9107609,38.1337814,28.4116154,15.443903,15.915369,30.8060856,30.8060856,-8.11725426,,19.8503666,-0.178259283,9.23620033,10.6177311,11.9467411
2019-03-21,28.0967045,46.3577499,28.5698185,21.1173038,13.8277531,17.5250187,15.7054386,39.0648117,24.7917728,16.5607243,19.1334782,35.3537521,35.3537521,-7.60654306,14.59585,22.6327152,0.990258813,11.196558,9.1297245,13.2101994
